Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
34,9,71,90041,4,1.3,1,0,0,0,0,1,0
40,14,93,93933,1,2.8,3,328,0,1,1,1,1
29,3,31,92126,4,0.3,2,0,0,0,0,1,0
56,32,44,94575,3,1.5,1,153,0,0,0,1,0
30,5,122,94545,2,3.1,1,0,0,0,0,0,0
58,33,81,91320,2,0,3,0,0,0,0,1,0
31,5,20,94720,2,0.3,1,0,0,0,0,0,0
35,11,190,92093,3,3.1,2,266,1,0,0,0,0
43,19,72,90024,2,1.7,1,0,0,0,0,1,0
24,-1,35,94305,2,1.7,2,0,0,0,0,0,0
44,18,84,91330,3,1.1,1,0,0,0,0,0,0
65,39,113,90036,1,2,1,0,0,0,0,1,1
28,2,121,92096,2,2,1,341,0,0,0,1,0
32,7,100,92126,3,0.6,2,0,0,0,0,1,0
56,26,92,92647,2,4.5,3,0,0,1,0,0,1
63,37,112,93106,4,2.4,3,0,0,0,0,1,1
54,28,92,92374,2,1.1,1,0,0,0,0,1,0
61,37,22,94590,1,1.2,3,0,0,0,0,1,0
43,18,122,92056,1,7,1,0,0,0,0,1,1
52,26,38,91711,3,0.9,3,0,0,0,0,1,0
36,6,90,91342,4,1.8,3,0,0,1,0,0,0
62,38,99,91604,4,1.7,2,0,0,0,0,0,0
43,19,172,95136,2,6.67,1,0,0,0,0,1,0
39,14,80,90502,2,0.4,1,0,0,0,0,0,0
45,19,69,90840,1,2.8,1,220,0,0,0,1,1
42,16,49,90034,1,2.8,1,0,0,0,0,0,0
49,23,61,94117,1,1.4,3,0,0,0,0,1,1
47,22,65,91330,3,2.7,2,0,0,0,0,1,0
32,8,58,95616,3,2,1,90,0,0,0,1,0
55,29,54,95051,2,2.3,3,93,0,0,0,0,0
59,33,64,95617,3,0.3,2,0,0,0,0,0,0
44,20,149,92121,1,1.7,1,0,0,0,0,1,0
45,21,140,91024,2,7.6,1,132,0,0,0,0,0
27,0,40,92103,4,1,3,0,0,0,0,0,0
32,6,31,92675,1,0.3,1,0,0,0,0,0,0
43,19,28,94303,4,0.3,1,87,0,0,0,0,0
50,26,128,92780,2,0.4,1,0,0,0,0,1,0
26,2,60,94111,4,1.6,1,0,0,0,1,1,1
46,21,40,90045,1,0.3,1,116,0,0,0,0,0
63,38,8,95136,4,0.6,2,0,0,0,0,1,0
51,25,34,93106,3,0.6,2,128,0,0,0,1,0
64,39,101,95134,4,3.4,2,0,0,0,0,0,1
50,25,58,93940,1,1.3,2,0,0,0,0,1,0
36,12,18,95521,4,1,1,0,0,0,0,1,1
42,18,143,95630,1,1.7,1,0,0,1,0,1,0
54,29,111,94304,1,0.1,3,0,0,0,0,0,1
40,15,75,95449,4,1.1,2,0,0,0,0,1,0
30,6,31,94720,3,1,2,142,0,0,0,0,0
62,36,32,92646,2,0.2,3,0,0,0,0,1,1
58,31,178,92009,2,6,2,0,1,0,0,1,0
46,21,170,95136,2,2.8,1,0,0,0,0,0,0
50,26,12,92121,1,0.2,1,96,0,0,0,0,0
38,13,129,92037,4,0.3,3,75,1,0,0,1,0
55,29,78,90747,4,2.6,3,0,0,0,0,0,1
46,20,19,94105,3,0.5,2,97,0,1,0,1,0
36,12,93,90720,2,2.2,1,0,0,0,0,1,1
60,35,191,93407,4,5.6,3,0,1,0,0,0,0
57,31,45,94305,3,1.4,1,198,0,0,0,1,0
34,10,68,90095,3,2.6,2,0,0,0,0,0,0
50,23,98,92068,3,2,2,0,0,0,0,0,0
57,32,40,94720,3,1.7,1,0,0,0,0,1,1
28,1,40,95134,1,2,2,0,0,1,0,1,0
39,13,30,92122,3,0.2,2,0,0,0,0,0,0
51,26,55,92121,3,2,2,93,0,0,0,1,0
54,28,80,95006,4,2.6,3,143,0,0,0,0,0
51,25,91,92407,1,0.8,3,0,0,0,0,0,0
41,16,23,94143,2,0.3,2,118,0,0,0,0,0
33,8,54,92251,3,2.3,1,0,0,0,0,0,1
39,15,125,90250,1,3.5,1,0,0,0,0,1,1
28,2,33,95814,3,1,1,167,0,0,0,1,0
39,15,143,91711,1,3.5,1,0,0,0,0,1,1
39,15,168,93117,2,8,1,152,0,1,0,0,0
41,16,81,92653,2,0.4,1,0,0,0,0,0,1
29,5,121,95449,1,1.5,1,0,0,0,0,1,0
57,33,93,94025,2,1.6,1,161,0,0,0,0,0
58,32,43,92093,1,2.8,2,0,0,0,0,1,0
63,39,50,94402,1,0,2,166,0,0,0,0,0
38,14,39,93118,1,2,2,0,0,0,0,1,0
54,28,83,95841,1,2.4,1,0,0,0,0,1,0
52,26,114,91330,2,2.4,2,0,0,0,0,0,0
62,37,15,94583,3,0.1,3,91,0,0,0,0,0
41,16,9,90089,2,0.3,2,0,0,0,0,0,1
64,39,101,95134,4,3.4,2,0,0,0,0,0,1
61,36,108,93943,4,3.4,2,0,0,0,0,1,0
39,9,29,94701,3,2,3,151,0,1,0,0,0
24,-1,39,94085,2,1.7,2,0,0,0,0,0,0
24,-1,78,94720,2,1.8,2,0,0,0,0,0,0
28,4,83,92612,3,0.8,1,0,0,0,0,1,1
55,31,74,94607,3,2.67,1,0,0,0,0,0,1
39,13,75,94305,3,2.1,1,224,0,0,0,1,0
40,14,53,94025,3,0.5,3,0,0,1,1,1,1
61,35,59,92697,1,2.8,2,0,0,0,0,0,0
49,23,61,94117,1,1.4,3,0,0,0,0,1,1
63,38,54,94704,3,2.4,1,90,0,0,0,0,1
39,13,50,94923,3,0.5,3,0,0,0,0,0,0
53,29,24,95818,4,0.2,1,0,0,0,0,1,1
40,15,144,91040,1,4.1,1,0,0,0,0,0,0
36,12,79,90041,2,2.2,1,0,0,0,0,1,0
60,34,65,95354,3,2.2,3,94,0,1,1,0,1
49,23,83,92126,1,0.3,1,0,0,0,0,1,1
52,27,28,93117,3,1.7,2,0,0,0,0,0,0
49,23,59,95827,3,2.1,1,0,0,0,0,0,0
28,4,199,92121,1,6.33,1,0,0,0,0,0,0
26,2,182,93010,2,3.2,2,0,1,0,0,0,0
41,16,98,95192,3,1,1,296,0,0,0,0,0
62,38,58,94720,4,1.2,2,228,0,0,0,0,1
47,22,22,90024,1,0.4,3,0,0,0,0,1,0
51,25,113,91320,2,6.3,1,0,0,0,0,0,0
40,14,28,94025,4,1.5,3,0,0,0,0,0,1
61,35,61,92177,3,2.2,3,117,0,0,0,1,1
49,24,33,92093,3,1.7,2,0,0,0,0,1,0
43,16,201,95054,1,10,2,0,1,0,0,0,1
52,26,35,94550,4,1.8,1,0,0,0,0,1,0
30,5,121,94132,2,3.3,1,0,0,0,0,0,1
61,36,188,91360,1,9.3,2,0,1,0,0,0,0
49,24,25,95831,2,0.7,3,0,0,0,0,1,0
34,10,84,95616,4,0.1,2,0,0,0,0,1,0
54,30,21,95351,1,0.1,2,76,0,0,0,1,0
62,36,44,92093,2,1,3,0,0,0,0,0,0
54,28,28,94305,4,1.5,3,0,0,0,0,1,1
50,26,88,90037,1,2.7,1,0,0,0,0,1,0
43,19,45,91773,3,0.6,2,0,0,0,0,0,0
40,14,58,94025,2,2.8,1,0,0,0,0,1,0
52,26,158,94920,2,3.7,3,251,1,0,0,0,1
46,20,18,92521,1,0.2,1,0,0,0,0,1,1
44,18,33,90405,3,1.5,1,0,0,0,0,1,1
58,34,58,90034,4,2.3,3,169,0,0,0,1,0
41,16,33,94309,4,0,2,0,0,0,0,1,0
30,5,83,93101,4,1.8,3,0,0,0,0,0,1
33,7,35,95616,4,0.8,1,0,0,0,0,1,0
50,24,43,95630,4,0.1,1,0,0,0,0,1,0
54,30,45,95134,4,1.1,2,205,0,0,0,1,0
52,28,65,93106,1,0,1,0,0,0,0,1,1
47,23,75,93106,1,2.6,2,0,0,0,0,0,1
29,3,49,94305,4,2.1,3,0,0,0,0,0,0
42,16,32,90033,3,0.5,2,0,0,0,0,0,1
54,30,64,95126,1,1.8,3,227,0,0,0,0,1
49,24,25,95831,2,0.7,3,0,0,0,0,1,0
29,5,128,91302,2,4.1,2,209,1,0,0,1,0
30,6,184,91911,1,6,1,0,0,0,0,1,0
26,1,54,91709,2,1.6,3,0,0,1,0,0,0
58,33,53,91030,4,2.1,1,0,0,0,0,1,0
47,20,101,91950,3,2,2,270,0,0,0,1,0
30,5,78,92037,1,2.6,2,0,0,0,0,1,0
30,4,44,94304,1,1.5,1,109,0,0,0,0,0
28,4,159,93907,1,1.5,1,0,0,0,0,1,1
43,18,10,91902,2,0.1,2,0,0,1,0,0,1
58,32,40,95833,2,0.3,1,0,0,0,0,0,0
53,29,90,95053,2,0.3,1,217,0,1,0,0,1
54,24,75,90089,2,4.5,3,0,0,0,0,0,0
30,5,131,92068,3,0.5,3,0,1,0,0,0,0
40,16,60,94501,2,3.2,1,0,0,0,0,0,0
60,34,105,92103,2,1.4,1,0,0,0,0,1,0
56,30,15,92093,4,0.7,3,102,0,0,0,0,0
46,20,29,92220,3,0.5,2,0,0,0,0,0,0
37,11,24,94115,4,1,1,0,0,0,0,0,0
58,32,40,90057,1,1.6,1,0,0,1,1,1,1
56,31,52,94118,3,2,2,0,0,1,1,1,1
59,32,49,95035,4,2.5,2,0,0,0,0,1,0
31,5,184,92064,4,3.4,2,0,1,0,1,1,1
42,18,141,94114,3,5,3,0,1,1,1,1,0
48,22,78,94588,3,2.1,1,0,0,0,0,1,1
43,17,91,91311,1,5.7,1,0,0,0,0,1,0
34,9,102,92115,4,2.2,2,0,0,0,0,1,0
48,22,78,94305,3,1.1,1,0,0,0,0,1,0
33,8,39,95032,3,2.3,1,0,0,0,0,0,0
59,33,83,94701,3,4.4,1,0,0,0,0,1,0
27,3,81,90291,3,1.5,1,307,0,1,1,1,1
54,24,72,95123,3,1.4,3,0,0,0,0,0,1
32,6,122,94025,2,1.3,1,0,0,0,0,1,1
40,14,81,94709,3,0.1,1,0,0,0,0,1,0
36,12,88,90212,2,2.7,1,0,0,0,0,1,0
45,20,180,95403,3,8.5,2,535,1,0,0,0,0
45,19,71,91711,4,2.9,1,218,0,0,1,1,1
54,29,81,91107,1,0.1,3,0,0,0,0,0,0
52,27,62,92661,4,1.8,3,82,0,0,0,0,0
36,12,18,95521,4,1,1,0,0,0,0,1,1
64,38,32,90065,3,0.7,2,0,0,0,0,1,1
56,30,44,91330,4,2.5,1,0,0,0,0,0,1
43,17,111,91423,4,5.4,3,0,1,0,0,1,0
48,24,24,91950,1,0.9,3,0,0,0,0,0,0
49,23,75,92374,1,1.5,2,0,0,0,0,0,1
32,8,60,95816,1,1.2,1,0,0,0,0,1,1
43,17,44,94611,1,0.2,1,0,0,1,1,1,0
47,21,85,93106,2,1.7,2,0,0,0,0,0,1
35,9,83,90277,2,4.5,3,0,0,0,0,1,0
50,24,44,94086,4,1.8,1,0,0,0,0,1,1
26,0,179,92028,4,2.1,2,0,1,0,0,0,0
36,6,90,91342,4,1.8,3,0,0,1,0,0,0
35,9,22,94085,3,0.1,2,0,0,0,1,1,1
56,32,25,95403,1,0.1,2,136,0,0,0,1,0
43,19,81,92121,2,3.2,1,0,0,0,0,1,0
63,37,61,91942,1,2.5,3,0,0,0,0,0,0
41,17,28,95616,1,0.7,1,0,0,0,0,0,1
50,25,18,95819,2,0,1,0,0,0,0,0,1
40,16,89,90011,4,0.8,1,155,0,0,0,1,0
60,35,49,94110,3,0.5,2,0,0,0,0,1,1
64,39,35,90266,1,1.5,2,0,0,1,0,0,0
56,30,113,92704,2,2.7,1,352,0,0,0,0,1
33,9,64,92507,4,3.4,1,0,0,0,0,0,0
54,28,49,94608,1,2.2,3,128,0,0,0,0,0
51,27,75,95828,1,2.7,1,0,0,0,0,0,0
60,34,61,95521,4,1.7,2,229,0,0,0,0,0
39,14,153,91614,2,3,1,0,0,0,0,0,0
30,4,142,92126,3,4.2,1,359,1,0,0,0,0
52,26,83,92521,1,3.1,1,0,1,0,0,1,0
36,12,18,95521,4,1,1,0,0,0,0,1,1
61,36,10,91365,4,0.4,2,0,0,0,0,1,0
50,25,42,90232,2,0.7,2,110,0,0,0,0,1
55,31,74,94607,3,2.67,1,0,0,0,0,0,1
33,7,83,95211,1,2.5,1,0,0,1,1,1,1
57,31,30,95070,3,1.4,1,0,0,0,0,0,0
45,19,30,94305,3,0.5,2,0,0,0,0,1,1
34,8,85,95134,1,2.5,1,136,0,0,0,0,1
34,9,49,94025,1,2.5,3,0,0,0,0,0,0
64,39,24,94117,4,0.6,2,0,0,0,0,0,0
56,31,59,94303,2,1.9,2,0,0,0,0,1,0
43,18,103,90089,3,1,1,180,0,0,0,1,1
43,16,44,94577,3,1,2,0,0,0,0,1,0
37,11,61,95120,3,0.9,2,0,0,0,0,0,0
52,28,179,94583,4,4.2,3,0,1,0,0,0,0
31,5,21,94309,1,0.4,2,0,0,0,0,1,0
30,5,51,92037,1,1,1,0,0,0,0,1,0
51,27,10,92121,2,0.2,1,86,0,0,0,0,0
33,7,48,92831,4,2.2,2,207,0,0,0,0,0
63,38,111,95814,2,3.9,1,207,0,1,1,1,1
61,36,54,94539,3,1.5,1,0,0,0,0,1,0
37,13,79,91330,1,3.6,2,104,0,0,0,1,0
45,21,58,94025,3,0.3,3,0,0,1,0,1,0
58,32,130,94720,2,2.7,1,0,0,0,0,1,0
54,30,51,92821,2,3.2,3,0,0,0,0,0,0
44,18,33,95351,3,0.5,2,0,0,0,0,0,0
65,40,64,94928,2,1.5,1,0,0,0,0,0,1
34,8,188,94025,1,2.9,3,0,1,0,0,1,0
57,33,149,95060,1,4.7,1,0,0,1,0,0,0
47,21,123,90840,1,7.3,1,0,0,0,0,0,0
41,15,88,90740,1,2.8,3,0,0,1,0,0,0
43,18,83,93109,3,0.5,3,0,0,0,0,0,1
57,32,39,90277,4,0.9,1,0,0,0,0,1,1
40,16,60,94501,2,3.2,1,0,0,0,0,0,0
39,13,93,93555,4,3.6,3,0,1,0,0,1,0
39,13,59,94109,4,0.2,3,0,0,1,0,0,1
46,21,115,95616,2,4.2,3,0,1,1,1,1,1
61,36,50,96003,4,1.7,1,189,0,0,0,1,0
47,22,58,93105,4,3.6,3,0,0,0,0,1,1
57,33,134,92110,4,0.9,1,198,1,0,0,1,0
44,18,123,95841,3,5.9,1,0,1,0,1,1,1
53,28,85,92037,1,1.2,1,0,0,0,0,0,0
44,20,113,95032,2,3.3,1,0,0,0,0,1,1
59,33,38,92407,1,1.4,1,0,0,0,0,1,1
53,29,24,94105,2,0.2,1,0,0,0,0,0,1
24,-1,78,94720,2,1.8,2,0,0,0,0,0,0
39,15,65,95822,1,1.5,3,0,0,0,0,0,0
63,37,124,92182,3,5,2,170,1,0,0,0,0
55,31,159,92123,1,3.9,3,0,1,0,0,0,0
52,22,22,90049,4,0.4,3,0,0,0,0,1,1
67,43,79,95616,4,1.7,2,215,0,0,1,1,1
39,15,62,93955,4,2.4,1,86,0,0,0,0,0
58,34,55,90032,1,0.8,1,168,0,0,0,1,1
29,3,39,95831,4,0.2,1,137,0,0,0,1,1
56,31,49,92182,2,1.6,3,103,0,0,0,1,0
58,32,38,94025,1,2.2,3,0,0,0,0,0,0
40,16,104,91730,1,3.4,1,249,0,0,0,0,0
48,24,148,91311,2,3.3,1,0,0,0,1,1,1
62,38,149,92130,1,4.7,1,0,0,0,0,1,0
34,9,41,92093,1,1,1,0,0,0,0,1,0
48,23,15,94061,4,0.8,1,0,0,0,0,1,0
40,16,138,92121,2,6.1,1,0,0,0,0,1,0
52,27,33,90095,2,0.7,2,0,0,0,0,0,1
65,41,91,91360,2,0,3,146,0,0,0,0,0
58,32,63,92717,1,1.6,1,0,0,1,0,1,0
31,7,18,91711,1,0.4,3,0,0,0,0,0,0
44,19,30,91423,1,0.5,3,0,0,0,0,1,0
32,7,42,92634,4,0.8,1,0,0,0,0,1,1
35,10,161,94109,1,4.1,1,0,0,1,0,1,0
62,38,35,94596,1,1.9,2,118,0,0,0,0,0
52,22,22,90049,4,0.4,3,0,0,0,0,1,1
27,3,118,95605,1,3.3,2,0,1,0,0,1,0
33,9,64,92507,4,3.4,1,0,0,0,0,0,0
27,3,90,91365,3,0.8,1,0,0,0,0,1,0
61,37,60,91706,3,2,3,0,0,0,0,1,0
38,12,48,95617,4,0.2,3,0,0,0,0,1,0
61,36,78,91330,3,0.5,1,0,0,0,0,1,1
56,26,70,91107,3,1.4,3,273,0,0,0,1,1
27,2,112,94501,4,1.8,3,0,0,1,0,1,0
57,33,170,95051,2,2.1,2,0,1,0,0,0,0
61,34,41,94123,4,2.5,2,0,0,0,0,1,0
53,28,34,92697,2,0.6,3,0,0,0,0,1,1
40,15,175,92646,2,3.3,1,0,0,0,0,1,0
58,32,43,92093,1,2.8,2,0,0,0,0,1,0
40,16,98,94534,2,1.8,2,98,0,0,0,1,0
50,25,58,93940,1,1.3,2,0,0,0,0,1,0
46,20,74,94024,4,2.6,3,0,0,0,0,1,0
49,23,121,90032,1,4.9,1,0,0,0,0,1,0
29,2,30,92126,4,1,3,0,0,0,0,0,0
55,28,39,94542,3,1,2,0,0,0,0,1,1
61,35,18,94303,3,0.3,3,0,0,0,0,0,0
33,7,88,94583,3,1.6,1,0,0,0,0,1,1
35,5,108,90630,2,2.75,3,0,1,1,0,0,0
30,4,102,91775,4,2.1,3,139,0,0,0,0,1
56,32,23,94610,1,1.2,3,127,0,0,0,1,1
51,26,28,92130,4,0.2,2,0,0,1,0,1,0
35,10,74,90638,4,1.3,1,0,0,0,0,1,0
36,10,183,95348,2,0,1,0,0,0,0,0,0
41,17,33,94550,1,0.7,1,104,0,0,0,0,0
37,13,158,93943,2,2.3,2,0,1,0,1,1,1
49,25,24,95678,3,0.4,1,0,0,0,0,1,0
49,23,65,94720,2,0.4,3,232,0,0,0,0,1
55,29,99,92121,2,1.4,1,264,0,0,0,1,1
40,16,89,90011,4,0.8,1,155,0,0,0,1,0
45,21,11,94143,4,0.2,1,106,0,0,0,1,1
28,3,51,94086,2,1.6,3,123,0,0,0,0,0
48,22,59,91775,1,1.4,3,241,0,0,0,1,0
57,32,68,90041,2,3.7,1,184,0,0,0,0,0
38,14,63,95422,1,3.6,2,0,0,1,0,1,0
40,16,41,91107,1,2,2,0,0,0,0,0,1
58,34,84,95120,4,1.6,2,0,0,0,0,1,0
54,24,91,91101,2,4.5,3,90,0,0,0,1,0
55,30,82,94720,4,3.8,2,0,0,0,0,1,0
43,16,201,95054,1,10,2,0,1,0,0,0,1
62,37,32,90266,3,0.2,1,0,0,1,0,0,1
59,33,59,91365,3,1.4,3,0,0,0,0,0,0
58,32,40,94124,1,2.8,2,0,0,0,0,0,0
54,30,133,93305,2,2.6,3,0,1,0,0,0,0
38,14,39,93118,1,2,2,0,0,0,0,1,0
49,25,195,95605,4,3,1,617,1,0,0,0,0
41,17,83,94025,4,2.67,1,0,0,0,0,1,1
30,4,40,90601,4,0.8,1,0,0,0,0,1,0
59,35,42,91711,4,0.4,1,0,0,0,0,1,0
27,3,94,92373,2,0.2,1,310,0,0,0,0,1
59,35,43,91791,4,0.4,1,0,0,0,0,0,1
50,25,24,95133,4,0.4,2,137,0,0,0,1,0
29,5,162,94022,1,4.3,1,0,0,0,0,0,1
53,27,81,90032,4,2.6,3,0,0,0,0,1,0
51,27,188,94305,2,6.9,2,343,1,0,0,1,0
36,12,70,92131,3,2.6,2,165,0,0,0,1,0
39,14,115,91320,1,1,3,0,0,0,0,1,0
44,20,20,92780,1,1.4,3,0,0,0,0,0,0
48,24,133,90740,1,5,1,0,0,0,0,0,0
54,24,25,90505,4,0.4,3,115,0,0,0,0,0
44,20,65,92037,2,2.5,1,0,0,0,0,1,0
30,5,78,92037,1,2.6,2,0,0,0,0,1,0
46,22,70,94701,4,1.9,1,212,0,0,0,0,1
30,6,64,94305,4,3.4,1,117,0,0,0,0,0
62,36,32,92646,2,0.2,3,0,0,0,0,1,1
51,25,44,94608,3,0.9,3,0,0,0,0,0,0
54,29,129,93940,4,4.2,3,0,1,0,0,0,0
55,30,64,94306,2,1.9,2,0,0,0,0,0,0
